actor,avg_revenue,avg_roi,avg_rating,n
Robert Downey Jr.,1359552382.8888888,5.624022674857496,7.5329999999999995,9
Mark Ruffalo,1270672022.0,5.444721387157778,7.6819999999999995,5
Chris Evans,1153427592.857143,5.157349481332903,7.545285714285714,7
Sam Worthington,1090420926.6,4.688400669484027,6.6348,5
Sigourney Weaver,1055360455.8,3.811888899484027,6.5364,5
Zoe Saldaña,1019986493.5714285,3.969391274155257,6.785857142857144,7
Chris Hemsworth,968466579.4,3.9796722740222896,7.225399999999999,5
Daniel Radcliffe,963359830.5,6.645852171435897,7.824125,8
Rupert Grint,963359830.5,6.645852171435897,7.824125,8
Ian McKellen,944582149.1428572,7.259990355968776,7.760428571428571,7
Emma Watson,900637873.5,6.364805191571795,7.736400000000001,10
Chris Pratt,724103020.8333334,4.560153110851696,7.381833333333334,6
Leonardo DiCaprio,683619510.4285715,5.214894825274725,8.022857142857143,7
Tom Cruise,682953388.0,3.677002588076713,7.4075999999999995,5
Orlando Bloom,679731673.6,3.5474541511831506,7.3316,5
Tom Hardy,660357197.6,4.565785894573876,7.1354,5
Eddie Murphy,658874245.4,5.481253275262626,7.1293999999999995,5
Cameron Diaz,639054170.6,5.287856350033868,6.9677999999999995,5
Johnny Depp,620691979.2222222,3.8406132222911165,7.241444444444444,9
Ryan Reynolds,597148681.0,6.891613989928864,7.4525999999999994,5
Kristen Wiig,561724670.4,6.254570829653021,6.944,5
Cate Blanchett,517041880.4,4.150313142357469,7.016799999999999,5
Tom Hanks,494731710.3636364,6.407042672881108,7.762363636363636,11
Robert Pattinson,426990579.8,4.643200560858147,6.765000000000001,5
Jason Statham,384027698.0,3.6789531351654134,7.059,5
Brad Pitt,346597287.71428573,3.8333932619889652,7.875857142857143,7
Jim Carrey,331889483.6666667,5.873277739282616,7.1275,6
Miles Teller,310564112.6,4.984125575222817,7.7674,5
Josh Hutcherson,309467997.14285713,5.183970107341836,6.849285714285714,7
Keanu Reeves,299175242.14285713,3.620577819823295,7.186714285714286,7
Milla Jovovich,73380350.0,2.563201008888889,6.566800000000001,5
